                                                                       07 Mar 2017 13:35:19
Place-INPE-CRN-To-Satellite-Scd2


Start Time (DD/MM/YYYY)     Stop Time (DD/MM/YYYY)    Duration (sec)    Max Elevation (deg)
-----------------------    -----------------------    --------------    -------------------
07/03/2017 03:14:32.784    07/03/2017 03:17:03.830           151.046                  0.315
07/03/2017 04:56:49.753    07/03/2017 05:09:04.649           734.896                 11.798
07/03/2017 06:41:39.362    07/03/2017 06:57:01.862           922.500                 44.292
07/03/2017 08:27:50.150    07/03/2017 08:43:21.044           930.894                 48.743
07/03/2017 10:15:26.908    07/03/2017 10:29:04.094           817.186                 17.411
07/03/2017 12:03:50.414    07/03/2017 12:15:17.387           686.973                  9.216
07/03/2017 13:51:13.611    07/03/2017 14:03:01.199           707.589                 10.261
07/03/2017 15:37:13.363    07/03/2017 15:51:16.617           843.254                 21.803
07/03/2017 17:23:01.192    07/03/2017 17:38:27.634           926.442                 69.524
07/03/2017 19:09:40.646    07/03/2017 19:24:13.207           872.562                 29.757
07/03/2017 20:58:19.606    07/03/2017 21:08:36.941           617.335                  7.191
08/03/2017 04:09:18.011    08/03/2017 04:20:28.690           670.678                  8.817
08/03/2017 05:53:51.519    08/03/2017 06:08:53.637           902.118                 34.308
08/03/2017 07:39:46.075    08/03/2017 07:55:26.485           940.410                 62.207
08/03/2017 09:27:06.992    08/03/2017 09:41:12.209           845.217                 20.552
08/03/2017 11:15:28.418    08/03/2017 11:27:14.380           705.962                  9.994
08/03/2017 13:03:09.648    08/03/2017 13:14:41.337           691.689                  9.466
08/03/2017 14:49:20.505    08/03/2017 15:03:00.040           819.535                 18.455
08/03/2017 16:35:05.629    08/03/2017 16:50:26.542           920.913                 54.027
08/03/2017 18:21:31.173    08/03/2017 18:36:27.507           896.334                 38.388
08/03/2017 20:09:41.167    08/03/2017 20:21:07.324           686.157                  9.858
09/03/2017 03:21:50.850    09/03/2017 03:31:44.512           593.662                  6.272
09/03/2017 05:06:06.750    09/03/2017 05:20:41.319           874.569                 26.798
09/03/2017 06:51:45.425    09/03/2017 07:07:29.985           944.560                 79.539
09/03/2017 08:38:49.793    09/03/2017 08:53:20.475           870.682                 24.509
09/03/2017 10:27:05.071    09/03/2017 10:39:14.338           729.267                 11.085
09/03/2017 12:15:02.015    09/03/2017 12:26:23.397           681.382                  8.975
09/03/2017 14:01:26.609    09/03/2017 14:14:41.322           794.713                 15.816
09/03/2017 15:47:11.248    09/03/2017 16:02:22.433           911.185                 42.581
09/03/2017 17:33:25.000    09/03/2017 17:48:39.202           914.203                 50.099
09/03/2017 19:21:09.683    09/03/2017 19:33:34.211           744.528                 13.038
